epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,664.334,0.72491,0.43119,1.43593,0.96357,0.95652,0.99204,0.75404,0.94632,0.58752,1.89452,0.00109,0.00109,0.00109
92,670.777,0.70826,0.41398,1.4408,0.99773,0.95652,0.99255,0.75183,0.98073,0.57638,1.94721,0.000991,0.000991,0.000991
93,677.084,0.71736,0.4174,1.44229,0.99583,0.95652,0.98899,0.75294,0.97651,0.51496,1.91265,0.000892,0.000892,0.000892
94,683.463,0.71314,0.40472,1.43021,0.97822,0.97631,0.99149,0.72409,1.03454,0.5124,1.96727,0.000793,0.000793,0.000793
95,689.751,0.71292,0.42139,1.38902,0.98569,0.95652,0.99215,0.75139,0.94062,0.50474,1.90902,0.000694,0.000694,0.000694
96,696.262,0.67083,0.40302,1.36942,0.97499,0.95652,0.99211,0.76722,0.91874,0.46663,1.88048,0.000595,0.000595,0.000595
97,702.661,0.68036,0.39496,1.45508,0.97534,0.95652,0.99136,0.76388,0.91292,0.48788,1.84608,0.000496,0.000496,0.000496
98,709.077,0.67248,0.40168,1.40805,0.99808,0.95652,0.98934,0.74818,0.92394,0.53461,1.8811,0.000397,0.000397,0.000397
99,715.455,0.67542,0.39761,1.39064,0.99725,0.95652,0.99141,0.75361,0.93363,0.49558,1.85699,0.000298,0.000298,0.000298
100,721.865,0.66787,0.3888,1.37726,0.99758,0.95652,0.99144,0.74516,0.94219,0.50505,1.89214,0.000199,0.000199,0.000199
